Transporteur ID;Pays;Tarif;Délai de Livraison (jours)
1;France;20;1
1;Belgique;18;3
1;Suisse;12;4
1;Luxembourg;22;2
2;France;28;1
2;Belgique;25;2
2;Suisse;15;4
2;Luxembourg;30;3
3;France;10;5
3;Belgique;12;4
4;France;23;2
4;Belgique;20;3
4;Suisse;18;4
4;Luxembourg;25;1
5;France;35;1
5;Belgique;30;3
5;Suisse;22;2
5;Luxembourg;28;4
6;France;14;3
6;Luxembourg;18;5
7;France;7;6
7;Belgique;10;5
8;Suisse;25;2
8;Luxembourg;22;3
9;France;10;4
9;Belgique;15;3
10;France;20;4
10;Suisse;25;3
10;Luxembourg;22;2
11;France;18;2
11;Belgique;15;3
11;Suisse;12;5
11;Luxembourg;20;4
12;France;15;5
12;Belgique;12;6
12;Luxembourg;18;4
13;France;23;3
13;Belgique;20;4
13;Suisse;28;2
13;Luxembourg;25;3
14;France;30;2
14;Belgique;28;3
14;Suisse;25;4
14;Luxembourg;35;1
15;France;12;6
15;Belgique;10;5
